序号,公告日期,证券,标题,
554,2006-11-07,武钢股份(600005.SH),武钢JTB1：华泰证券有限责任公司关于注销武钢股份认购权证的公告,
555,2006-11-07,武钢股份(600005.SH),武钢JTB1：国都证券有限责任公司关于注销武钢股份认购权证的公告,
556,2006-11-07,武钢股份(600005.SH),武钢股份：武汉钢铁(集团)公司武汉钢铁(集团)公司公布提示性公告,
557,2006-11-06,武钢股份(600005.SH),武钢JTB1：长江证券有限责任公司关于注销武钢认购权证的公告,
558,2006-11-06,武钢股份(600005.SH),武钢JTB1：国泰君安证券股份有限公司关于注销武钢股份认购权证的公告,
559,2006-11-06,武钢股份(600005.SH),武钢JTB1：华泰证券有限责任公司关于注销武钢股份认购权证的公告,
560,2006-11-06,武钢股份(600005.SH),武钢JTB1：东方证券股份有限公司关于注销武钢股份认购权证的公告,
561,2006-11-06,武钢股份(600005.SH),武钢JTP1：国泰君安证券股份有限公司关于注销武钢股份认沽权证的公告,
562,2006-11-06,武钢股份(600005.SH),武钢JTB1：上海证券有限责任公司关于注销武钢股份认购权证的公告,
563,2006-11-06,武钢股份(600005.SH),武钢JTB1：国信证券有限责任公司关于注销武钢股份认购权证的公告,
564,2006-11-03,武钢股份(600005.SH),武钢JTB1：国元证券有限责任公司关于注销武钢股份认购权证的公告,
565,2006-11-02,武钢股份(600005.SH),武钢JTB1：广发证券股份有限公司关于注销武钢认购权证的公告,
566,2006-11-02,武钢股份(600005.SH),武钢JTB1：国元证券有限责任公司关于注销武钢股份认购权证的公告,
567,2006-11-01,武钢股份(600005.SH),武钢JTB1：国信证券有限责任公司关于注销武钢股份认购权证的公告,
568,2006-11-01,武钢股份(600005.SH),武钢JTB1：国泰君安证券股份有限公司关于注销武钢股份认购权证的公告,
569,2006-11-01,武钢股份(600005.SH),武钢JTP1：国泰君安证券股份有限公司关于注销武钢股份认沽权证的公告,
570,2006-11-01,武钢股份(600005.SH),武钢JTB1：上海证券有限责任公司关于注销武钢股份认购权证的公告,
571,2006-11-01,武钢股份(600005.SH),武钢JTB1：长江证券有限责任公司关于注销武钢认购权证的公告,
572,2006-10-31,武钢股份(600005.SH),武钢JTB1：海通证券股份有限公司关于注销武钢认购权证的公告,
573,2006-10-31,武钢股份(600005.SH),武钢JTB1：华泰证券有限责任公司关于注销武钢股份认购权证的公告,
574,2006-10-31,武钢股份(600005.SH),武钢JTB1：上海证券有限责任公司关于注销武钢认购权证的公告,
575,2006-10-30,武钢股份(600005.SH),武钢股份2006年第三季度报告,
576,2006-10-30,武钢股份(600005.SH),武钢JTP1：东方证券股份有限公司关于注销武钢股份认沽权证的公告,
577,2006-10-30,武钢股份(600005.SH),武钢JTP1：武汉钢铁（集团）公司关于”武钢JTB1“认购权证及”武钢JTP1”认沽权证有关问题提示性公告,
578,2006-10-30,武钢股份(600005.SH),武钢JTB1：武汉钢铁（集团）公司关于”武钢JTB1“认沽权证有关问题提示性公告,
579,2006-10-28,武钢股份(600005.SH),武钢JTB1：光大证券股份有限公司关于注销武钢股份认购权证的公告,
580,2006-10-27,武钢股份(600005.SH),武钢JTB1：国泰君安证券股份有限公司关于注销武钢股份认购权证的公告,
581,2006-10-27,武钢股份(600005.SH),武钢JTB1：华泰证券有限责任公司关于注销武钢股份认购权证的公告,
582,2006-10-27,武钢股份(600005.SH),武钢JTB1：国元证券有限责任公司关于注销武钢股份认购权证的公告,
583,2006-10-27,武钢股份(600005.SH),武钢JTB1：东海证券有限责任公司关于注销武钢认购权证的公告,
584,2006-10-27,武钢股份(600005.SH),武钢JTP1：东方证券股份有限公司关于注销武钢股份认沽权证的公告,
585,2006-10-25,武钢股份(600005.SH),武钢JTB1：光大证券股份有限公司关于注销武钢权证认购权证的公告,
586,2006-10-25,武钢股份(600005.SH),武钢JTB1：国元证券有限责任公司关于注销武钢股份认购权证的公告,
587,2006-10-25,武钢股份(600005.SH),武钢JTP1：东方证券股份有限公司关于注销武钢股份认沽权证的公告,
588,2006-10-24,武钢股份(600005.SH),武钢JTB1：华泰证券有限责任公司关于注销武钢股份认购权证的公告,
589,2006-10-24,武钢股份(600005.SH),武钢JTB1：国元证券有限责任公司关于注销武钢股份认购权证的公告,
590,2006-10-24,武钢股份(600005.SH),武钢JTB1：光大证券股份有限公司关于注销武钢股份认购权证的公告,
591,2006-10-23,武钢股份(600005.SH),武钢JTP1：广发证券股份有限公司关于注销武钢认沽权证的公告,
592,2006-10-23,武钢股份(600005.SH),武钢JTB1：海通证券股份有限公司关于注销武钢股份认购权证的公告,
593,2006-10-23,武钢股份(600005.SH),武钢JTB1：招商证券股份有限公司关于注销武钢股份认购权证的公告,
594,2006-10-21,武钢股份(600005.SH),武钢JTB1：光大证券股份有限公司关于注销武钢股份认购权证的公告,
595,2006-10-20,武钢股份(600005.SH),武钢JTB1：国信证券有限责任公司关于注销武钢股份认购权证的公告,
596,2006-10-20,武钢股份(600005.SH),武钢JTB1：华泰证券有限责任公司关于注销武钢股份认购权证的公告,
597,2006-10-20,武钢股份(600005.SH),武钢JTB1：东海证券有限责任公司关于注销武钢认购权证的公告,
598,2006-10-20,武钢股份(600005.SH),武钢JTP1：东方证券股份有限公司关于注销武钢股份认沽权证的公告,
599,2006-10-20,武钢股份(600005.SH),武钢JTB1：招商证券股份有限公司关于注销武钢股份认购权证的公告,
600,2006-10-19,武钢股份(600005.SH),武钢JTB1：招商证券股份有限公司关于注销武钢股份认购权证的公告,
601,2006-10-18,武钢股份(600005.SH),武钢JTB1：国信证券有限责任公司关于注销武钢股份认购权证的公告,
602,2006-10-18,武钢股份(600005.SH),武钢JTB1：国元证券有限责任公司关于注销武钢股份认购权证的公告,
603,2006-10-18,武钢股份(600005.SH),武钢JTB1：上海证券有限责任公司关于注销武钢股份认购权证的公告,
604,2006-10-17,武钢股份(600005.SH),武钢JTB1：华泰证券有限责任公司关于注销武钢股份认购权证的公告,
605,2006-10-17,武钢股份(600005.SH),武钢JTB1：国元证券有限责任公司关于注销武钢股份认购权证的公告,
606,2006-10-16,武钢股份(600005.SH),武钢JTB1：长江证券有限责任公司关于注销武钢认购权证的公告,
607,2006-10-16,武钢股份(600005.SH),武钢JTB1：关于注销武钢股份认购权证的公告,
608,2006-10-16,武钢股份(600005.SH),武钢JTB1：海通证券股份有限公司关于注销武钢股份认购权证的公告,
609,2006-10-16,武钢股份(600005.SH),武钢JTB1：华泰证券有限责任公司关于注销武钢股份认购权证的公告,
610,2006-10-13,武钢股份(600005.SH),武钢JTP1：海通证券股份有限公司关于注销武钢股份认沽权证的公告,
611,2006-10-13,武钢股份(600005.SH),武钢JTB1：国都证券有限责任公司关于注销武钢股份认购权证的公告,
612,2006-10-12,武钢股份(600005.SH),武钢JTB1：国元证券有限责任公司关于注销武钢股份认购权证的公告,
613,2006-10-12,武钢股份(600005.SH),武钢JTB1：国信证券有限责任公司关于注销武钢股份认购权证的公告,
614,2006-10-11,武钢股份(600005.SH),武钢JTP1：海通证券股份有限公司关于注销武钢股份认沽权证的公告,
615,2006-10-11,武钢股份(600005.SH),武钢JTB1：海通证券股份有限公司关于注销武钢股份认购权证的公告,
616,2006-09-27,武钢股份(600005.SH),武钢JTB1：国都证券有限责任公司关于注销武钢股份认购权证的公告,
617,2006-09-26,武钢股份(600005.SH),武钢JTB1：华泰证券有限责任公司关于注销武钢股份认购权证的公告,
618,2006-09-26,武钢股份(600005.SH),武钢JTB1：光大证券股份有限公司关于注销武钢股份认购权证的公告,
619,2006-09-26,武钢股份(600005.SH),武钢JTB1：广发证券股份有限公司关于注销武钢认购权证的公告,
620,2006-09-26,武钢股份(600005.SH),武钢JTB1：东海证券有限责任公司关于注销武钢认购权证的公告,
621,2006-09-25,武钢股份(600005.SH),武钢JTB1：东方证券股份有限公司关于注销武钢股份认购权证的公告,
622,2006-09-25,武钢股份(600005.SH),武钢JTP1：广发证券股份有限公司关于注销武钢认沽权证的公告,
623,2006-09-25,武钢股份(600005.SH),武钢JTB1：广发证券股份有限公司关于注销武钢认购权证的公告,
624,2006-09-20,武钢股份(600005.SH),武钢JTB1：光大证券股份有限公司关于注销武钢股份认购权证的公告,
625,2006-09-19,武钢股份(600005.SH),武钢JTB1：广发证券股份有限公司关于注销武钢认购权证的公告,
626,2006-09-19,武钢股份(600005.SH),武钢JTB1：长江证券股份有限公司关于注销武钢股份认购权证的公告,
627,2006-09-19,武钢股份(600005.SH),武钢JTB1：国都证券有限责任公司关于注销武钢股份认购权证的公告,
628,2006-09-18,武钢股份(600005.SH),武钢JTB1：长江证券有限责任公司关于注销武钢股份认购权证的公告,
629,2006-09-15,武钢股份(600005.SH),武钢JTB1：上海证券有限责任公司关于注销武钢股份认购权证的公告,
630,2006-09-15,武钢股份(600005.SH),武钢JTB1：光大证券股份有限公司关于注销武钢股份认购权证的公告,
631,2006-09-06,武钢股份(600005.SH),武钢JTB1：光大证券股份有限公司公布关于注销武钢股份认购权证的公告,
632,2006-09-05,武钢股份(600005.SH),武钢JTP1：海通证券股份有限公司关于注销武钢股份认沽权证的公告,
633,2006-09-05,武钢股份(600005.SH),武钢JTP1：广发证券股份有限公司关于注销武钢认沽权证的公告,
634,2006-09-05,武钢股份(600005.SH),武钢JTB1：东海证券有限公司关于注销武钢认购权证的公告,
635,2006-09-05,武钢股份(600005.SH),武钢JTB1：国信证券有限责任公司关于注销武钢股份认购权证的公告,
636,2006-09-01,武钢股份(600005.SH),武钢JTB1：东海证券有限责任公司关于注销武钢认购权证的公告,
637,2006-08-31,武钢股份(600005.SH),武钢JTB1：光大证券股份有限公司关于注销武钢股份认购权证的公告,
638,2006-08-29,武钢股份(600005.SH),武钢JTB1：光大证券股份有限公司关于注销武钢股份认购权证的公告,
639,2006-08-29,武钢股份(600005.SH),武钢JTP1：中信证券股份有限公司关于注销武钢股份认沽权证的公告,
640,2006-08-29,武钢股份(600005.SH),武钢JTB1：东方证券股份有限公司关于注销武钢股份认购权证的公告,
641,2006-08-25,武钢股份(600005.SH),武钢JTB1：光大证券股份有限公司关于注销武钢股份认购权证的公告,
642,2006-08-23,武钢股份(600005.SH),武钢JTP1：长江证券有限责任公司关于注销武钢认沽权证的公告,
643,2006-08-17,武钢股份(600005.SH),武钢JTP1：华泰证券有限责任公司关于注销武钢股份认沽权证的公告,
644,2006-07-31,武钢股份(600005.SH),武钢JTB1：广发证券股份有限公司关于注销武钢认购权证的公告,
645,2006-07-31,武钢股份(600005.SH),武钢JTP1：长江证券有限责任公司关于注销武钢认沽权证的公告,
646,2006-07-31,武钢股份(600005.SH),G　武　钢：2006年第一次临时股东大会决议公告,
647,2006-07-31,武钢股份(600005.SH),G　武　钢：2006年第一次临时股东大会的法律意见书,
648,2006-07-26,武钢股份(600005.SH),G　武　钢2006年中期报告摘要,
649,2006-07-26,武钢股份(600005.SH),G　武　钢2006年中期报告,
650,2006-07-26,武钢股份(600005.SH),G　武　钢：第四届董事会第九次会议决议公告,
651,2006-07-26,武钢股份(600005.SH),G　武　钢：第四届监事会第七次会议决议公告,
652,2006-07-24,武钢股份(600005.SH),G　武　钢2006年第一次临时股东大会会议资料,
653,2006-07-24,武钢股份(600005.SH),G　武　钢：关于召开2006年第一次临时股东大会的提示性公告,
654,2006-07-13,武钢股份(600005.SH),G　武　钢：召开2006年第一次临时股东大会的通知,
655,2006-07-13,武钢股份(600005.SH),G　武　钢：第四届监事会第六次会议决议公告,
656,2006-07-13,武钢股份(600005.SH),G　武　钢：第四届董事会第八次会议决议公告,
657,2006-06-28,武钢股份(600005.SH),武钢JTP1：华泰证券有限责任公司关于注销武钢股份认沽权证的公告,
658,2006-06-06,武钢股份(600005.SH),武钢JTB1：光大证券股份有限公司关于注销武钢股份认购权证的公告,
659,2006-06-05,武钢股份(600005.SH),G　武　钢：2005年度分红派息实施公告,
660,2006-05-19,武钢股份(600005.SH),G　武　钢：2005年年度股东大会决议公告,
661,2006-05-19,武钢股份(600005.SH),G　武　钢：2005年年度股东大会的法律意见书,
662,2006-05-17,武钢股份(600005.SH),G　武　钢2005年年度股东大会会议资料,
663,2006-05-11,武钢股份(600005.SH),武钢JTP1：广发证券股份有限公司关于注销武钢股份认沽权证的公告,
664,2006-05-11,武钢股份(600005.SH),武钢JTP1：海通证券股份有限公司关于注销武钢股份认沽权证的公告,
665,2006-05-09,武钢股份(600005.SH),武钢JTP1：国元证券有限责任公司关于注销武钢股份认沽权证的公告,
666,2006-04-28,武钢股份(600005.SH),武钢JTP1：国元证券有限责任公司关于注销武钢股份认沽权证的公告,
667,2006-04-25,武钢股份(600005.SH),G　武　钢：关于对武钢集团财务公司追加投资的关联交易报告,
668,2006-04-25,武钢股份(600005.SH),G　武　钢：第四届监事会第五次会议决议公告,
669,2006-04-25,武钢股份(600005.SH),G　武　钢：控股股东和关联方占用资金等问题的专项说明,
670,2006-04-25,武钢股份(600005.SH),G　武　钢：董事会决议暨召开公司2005年度股东大会的通知,
671,2006-04-25,武钢股份(600005.SH),G　武　钢2006年第一季度报告,
672,2006-04-25,武钢股份(600005.SH),G　武　钢2005年年度报告,
673,2006-04-25,武钢股份(600005.SH),G　武　钢2005年年度报告摘要,
674,2006-04-22,武钢股份(600005.SH),武钢JTB1：国泰君安证券股份有限公司关于注销武钢股份认购权证的公告,
675,2006-04-21,武钢股份(600005.SH),武钢JTB1：国泰君安证券股份有限公司关于注销武钢股份认购权证的公告,
676,2006-04-20,武钢股份(600005.SH),武钢JTB1：东方证券股份有限公司关于注销武钢股份认购权证的公告,
677,2006-04-18,武钢股份(600005.SH),武钢JTB1：国泰君安证券股份有限公司关于注销武钢股份认购权证的公告,
678,2006-04-15,武钢股份(600005.SH),武钢JTB1：国泰君安证券股份有限公司关于注销武钢股份认购权证的公告,
679,2006-04-13,武钢股份(600005.SH),武钢JTB1：国泰君安证券股份有限公司关于注销武钢股份认购权证的公告,
680,2006-04-12,武钢股份(600005.SH),武钢JTP1：东海证券有限责任公司关于注销武钢股份认沽权证的公告,
681,2006-04-07,武钢股份(600005.SH),武钢JTB1：国泰君安证券股份有限公司关于注销武钢股份认购权证的公告,
682,2006-04-01,武钢股份(600005.SH),武钢JTP1：东海证券有限责任公司关于注销武钢股份认沽权证的公告,
683,2006-03-31,武钢股份(600005.SH),武钢JTB1：国泰君安证券股份有限公司关于注销武钢股份认购权证的公告,
684,2006-03-28,武钢股份(600005.SH),武钢JTP1：国信证券有限责任公司关于注销武钢股份认沽权证的公告,
685,2006-03-24,武钢股份(600005.SH),武钢JTB1：国泰君安证券股份有限公司关于注销武钢股份认购权证的公告,
686,2006-03-24,武钢股份(600005.SH),武钢JTP1：国泰君安证券股份有限公司关于注销武钢股份认沽权证的公告,
687,2006-03-24,武钢股份(600005.SH),武钢JTP1：东海证券股份有限责任公司关于注销武钢股份认沽权证的公告,
688,2006-03-21,武钢股份(600005.SH),武钢JTP1：国泰君安证券股份有限公司关于注销武钢股份认沽权证的公告,
689,2006-03-21,武钢股份(600005.SH),武钢JTB1：国泰君安证券股份有限公司关于注销武钢股份认购权证的公告,
690,2006-03-18,武钢股份(600005.SH),武钢JTB1：国泰君安证券股份有限公司关于注销武钢股份认购权证的公告,
691,2006-03-17,武钢股份(600005.SH),武钢JTP1：国泰君安证券股份有限公司关于注销武钢股份认沽权证的公告,
692,2005-11-18,武钢股份(600005.SH),武钢股份：行权期调整的提示性公告,
693,2005-11-16,武钢股份(600005.SH),武钢股份：关于武汉钢铁集团公司认购权证及认沽权证上市的提示性公告,
694,2005-11-16,武钢股份(600005.SH),武钢股份：股权分置改革方案实施公告,
695,2005-11-11,武钢股份(600005.SH),武钢股份：股权分置改革相关股东会议的法律意见书,
696,2005-11-11,武钢股份(600005.SH),武钢股份：股权分置改革相关股东会议表决结果公告,
697,2005-11-07,武钢股份(600005.SH),武钢股份：关于召开相关股东会议第三次提示性公告,
698,2005-11-04,武钢股份(600005.SH),武钢股份：关于延长董事会投票委托征集时间的提示性公告,
699,2005-11-04,武钢股份(600005.SH),武钢股份：关于股权分置改革方案获国务院国有资产监督管理委员会批准的公告,
700,2005-10-28,武钢股份(600005.SH),武钢股份：关于召开相关股东会议第二次提示性公告,
701,2005-10-24,武钢股份(600005.SH),武钢股份：关于召开相关股东会议第一次提示性公告,
702,2005-10-22,武钢股份(600005.SH),武钢股份2005年第三季度报告,
703,2005-10-22,武钢股份(600005.SH),武钢股份：第四届董事会第六次会议决议公告,
704,2005-10-22,武钢股份(600005.SH),武钢股份：第四届监事会第四次会议决议公告,
705,2005-10-17,武钢股份(600005.SH),武钢股份：股权分置改革之补充保荐意见,
706,2005-10-17,武钢股份(600005.SH),武钢股份：第四届董事会第五次会议决议公告,
707,2005-10-17,武钢股份(600005.SH),武钢股份：股权分置改革方案沟通协商情况暨调整股权分置改革方案的公告,
708,2005-10-17,武钢股份(600005.SH),武钢股份：股权分置改革说明书（修订稿）,
709,2005-10-17,武钢股份(600005.SH),武钢股份：独立董事关于调整公司股权分置改革方案的独立意见,
710,2005-10-17,武钢股份(600005.SH),武钢股份：股权分置改革说明书摘要（修订稿）,
711,2005-10-17,武钢股份(600005.SH),武钢股份：股权分置改革的补充法律意见书,
712,2005-09-27,武钢股份(600005.SH),武钢股份：董事会投票委托征集函,
713,2005-09-27,武钢股份(600005.SH),武钢股份：股权分置改革说明书（摘要）,
714,2005-09-27,武钢股份(600005.SH),武钢股份：第四届监事第三次会议决议公告,
715,2005-09-27,武钢股份(600005.SH),武钢股份：关于资产收购及关联交易的公告,
716,2005-09-27,武钢股份(600005.SH),武钢股份：第四届董事会第四次会议决议公告,
717,2005-09-27,武钢股份(600005.SH),武钢股份：关于召开2005年第一次临时股东大会暨相关股东会议的通知,
718,2005-09-27,武钢股份(600005.SH),武钢股份：股权分置改革的法律意见书,
719,2005-09-27,武钢股份(600005.SH),武钢股份：股权分置改革说明书（全文）,
720,2005-09-27,武钢股份(600005.SH),武钢股份：股权分置改革方案的独立董事意见函,
721,2005-09-27,武钢股份(600005.SH),武钢股份：股权分置改革之保荐意见,
722,2005-09-26,"武钢股份(600005.SH),07武钢债(126005.SH)",武钢股份：关于股权分置改革的提示性公告,
723,2005-08-16,武钢股份(600005.SH),武钢股份：第四届董事会第三次会议决议公告,
724,2005-08-16,武钢股份(600005.SH),武钢股份：第四届监事会第二次会议决议公告,
725,2005-08-16,武钢股份(600005.SH),武钢股份2005年半年度报告,
726,2005-08-16,武钢股份(600005.SH),武钢股份2005年半年度报告摘要,
727,2005-06-29,武钢股份(600005.SH),武钢股份：第四届董事会第二次会议决议公告,
728,2005-06-25,武钢股份(600005.SH),武钢股份2004年年度报告摘要的更正公告,
729,2005-05-16,武钢股份(600005.SH),武钢股份：2004年度分红派息实施公告,
730,2005-04-30,武钢股份(600005.SH),武钢股份2005年第一季度报告,
731,2005-04-30,武钢股份(600005.SH),武钢股份：第四届监事会第一次会议决议公告,
732,2005-04-30,武钢股份(600005.SH),武钢股份：2005年半年度业绩预增的提示性公告,
733,2005-04-30,武钢股份(600005.SH),武钢股份：第四届董事会第一次会议决议公告,
734,2005-04-30,武钢股份(600005.SH),武钢股份：2004年年度股东大会决议公告,
735,2005-04-23,武钢股份(600005.SH),武钢股份2004年年度股东大会会议资料,
736,2005-04-14,武钢股份(600005.SH),武钢股份：第三届监事会第六次会议决议公告,
737,2005-04-14,武钢股份(600005.SH),武钢股份：第三届董事会第八次会议决议公告,
738,2005-03-29,武钢股份(600005.SH),武钢股份2004年年度报告摘要,
739,2005-03-29,武钢股份(600005.SH),武钢股份2004年年度报告,
740,2005-03-29,武钢股份(600005.SH),武钢股份：日常关联交易公告,
741,2005-03-29,武钢股份(600005.SH),武钢股份：董事会决议暨召开2004年年度股东大会的通知,
742,2005-03-29,武钢股份(600005.SH),武钢股份：第三届监事会第五次会议决议公告,
743,2005-02-17,武钢股份(600005.SH),武钢股份：第三届董事会第六次会议决议公告,
744,2005-01-28,武钢股份(600005.SH),武钢股份：业绩预告修正公告,
745,2004-12-13,武钢股份(600005.SH),武钢股份：第三届监事会第三次会议决议公告,
746,2004-12-13,武钢股份(600005.SH),武钢股份：第三届董事会第五次会议决议公告,
747,2004-10-26,武钢股份(600005.SH),武钢股份2004年第三季度报告,
748,2004-10-12,武钢股份(600005.SH),武钢股份：2004年1-9月业绩预增的提示性公告,
749,2004-10-12,武钢股份(600005.SH),武钢股份：转增股本实施公告,
750,2004-09-30,武钢股份(600005.SH),武钢股份：二零零四年度第一次临时股东大会决议公告,
751,2004-09-30,武钢股份(600005.SH),武钢股份：2004年第一次临时股东大会的法律意见书,
752,2004-09-25,武钢股份(600005.SH),武钢股份2004年第一次临时股东大会会议资料,
753,2004-09-14,武钢股份(600005.SH),武钢股份：公司公告,
754,2004-08-27,武钢股份(600005.SH),武钢股份：董事会公告,
755,2004-08-27,武钢股份(600005.SH),武钢股份：董事会决议公告暨召开二零零四年第一次临时股东大会的通知,
756,2004-08-27,武钢股份(600005.SH),武钢股份2004年半年度报告摘要,
757,2004-08-27,武钢股份(600005.SH),武钢股份2004年半年度报告,
758,2004-08-27,武钢股份(600005.SH),武钢股份：第三届监事会第二次会议决议公告,
759,2004-08-27,武钢股份(600005.SH),武钢股份：关联交易公告,
760,2004-07-07,武钢股份(600005.SH),武钢股份：2004年半年度业绩预增的提示性公告,
761,2004-06-30,武钢股份(600005.SH),武钢股份：股份变动及增发新股上市公告,
762,2004-06-23,武钢股份(600005.SH),武钢股份增发新股发行结果公告,
763,2004-06-18,武钢股份(600005.SH),武钢股份：增发新股发行方案提示性公告,
764,2004-06-17,武钢股份(600005.SH),武钢股份：增发新股询价区间公告,
765,2004-06-14,武钢股份(600005.SH),武钢股份增发招股意向书,
766,2004-06-14,武钢股份(600005.SH),武钢股份增发新股发行公告,
